차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
Bengal Spice,1,X,2,a1,"계피, 생강",1
BerryBlossom White,1,O,1,a2,과일향(베리향),2
Black Cherry Berry,3,X,1,a3,"과일향(체리, 베리)",3
Breakfast in Paris Black Tea,1,O,"1,4",a4,"라벤더꽃향, 시트러스향",4
ButterScotch Blondie,3,O,4,a5,"버터카라멜향, 바닐라향",5
Candy Cane Lane,4,△,"3,5",a6,"민트향, 녹차향",6
Chai Green Tea,3,O,"2,5",a7,"계피, 생강,녹차향",7
Chamomile Nights Herbal Tea,4,X,4,a8,캐모마일향,8
China Green Tips,3,O,5,a9,녹차향,9
Choco,3,X,2,a10,"초콜릿향, 계피, 생강",10
Chocolate Mint Oolong Tea,1,O,3,a11,"초콜릿, 민트향",11
Cinnamon Apple Spice,"1,4",X,"1,2",a12,"계피향, 과일향(사과), 버터스카치, 초콜릿",12
Cinnamon Express,3,O,2,a13,"계피, 홍차향",13
Clear Mind Tea,4,X,"1,2",a14,"레몬향, 생강향",14
Coconut Mango Oolong Tea,"1,4",O,1,a15,"견과향, 과일향",15
Cold Brew Half&Half,4,O,"1,5",a16,"레몬향, 홍차향",16
Cranberry Vanilla Wonderland,1,X,"1,4",a17,"히비스커스, 루이보스, 과일향(크랜베리)",17
Decaf Vanilla Chai Black Tea,4,△,"2,4",a18,"바닐라향, 계피향",18
Digestive Tea,4,X,"2,3",a19,"민트향, 생강향",19
Double Bergamot Earl Grey,4,O,"1,4",a20,"베르가못향,시트러스향",20
Double Spice Chai Black Tea,"1,4",O,2,a21,"계피, 생강향",21
Dream,4,X,4,a22,"캐모마일, 라벤더, 바닐라",22
Earl Grey Cr?me,4,O,"4,5",a23,"얼그레이, 바닐라향",23
Elderberry BlackBerry,4,X,1,a24,"달콤한 맛 엘더베리에 블랙베리 향 과일향(엘더베리, 블랙베리)",24
Energize,3,O,2,a25,인삼향,25
English Breakfast Black Tea,3,O,"4,5",a26,"홍차향, 꽃향기",26
Fast Lane,2,O,"2,5",a27,"계피, 아삼홍차향, 콜라빈",27
Ginger Orange with Vanila,3,X,"1,2",a28,"생강,계피, 과일향(오렌지)",28
Glazed Lemon Loaf,3,X,"1,4",a29,"루이보스, 레몬향",29
Golden Tumeric Chai Herbal Tea,3,X,"1,2",a30,"계피, 생강, 오렌지향",30
Iced True Black,3,O,5,a31,홍차향,31
Juniper Mint Honey,3,X,"1,3",a32,"민트, 베리향",32
Lemon Lavender Lane,4,X,"1,4",a33,"과일향(레몬), 라벤더향",33
Lemon Mint,4,X,1,a34,"레몬향, 민트향",34
Lemon Strawberry,3,O,1,a35,"과일향(레몬,딸기)",35
Licorice Spcie Herbal Tea,1,X,"1,2",a36,"계피향, 오렌지향",36
Meyer Lemon Herbal Tea,"1,4",X,1,a37,시트러스향,37
Morning Thunder,1,O,5,a38,마테향,38
Organic Chai,4,,2,a39,"계피, 카다몸, 생강 및 후추의 풍부한 향",39
ORGANIC PEACHY GREEN,4,O,1,a40,복숭아 향,40
Peppermint Huckleberry,4,O,3,a41,상쾌한 민트 시원한 향,41
Pomegranate Raspberry Green Tea,3,O,1,a42,"과일향(석류, 라즈베리)",42
PricklyPear Cactus,4,X,4,a43,"히비스커스향, 캐모마일향",43
Refresh Mint,4,X,3,a44,시원한 향,44
Roastaroma,4,X,2,a45,"치커리, 보리향, 계피향",45
Rose,3,X,4,a46,"플로럴향(장미, 엘더플라워 등)",46
SleepyTime,4,X,"3,4",a47,"캐모마일, 민트, 레몬그라스",47
Sweet Honeydew Green Tea,3,O,1,a48,과일향(멜론향),48
Sweet Tangerine Positive Energy,2,O,5,a49,"마테, 플로럴(연꽃), 시트러스향",49
Tazo Herbal Juniper Mint Honey Tea Bags,3,X,3,a50,달콤한 맛 상쾌한 민트 향,50
Tumeric Chai,3,X,2,a51,"생강, 계피",51
Tumeric Orange,3,X,"1,2",a52,"과일향(오렌지), 생강",52
Vanilla Bean Macaron,1,O,"2,4",a53,"계피, 바닐라향",53
VANILLA CARAMEL CHAI,4,O,4,a54,바닐라의 풍부한 향,54
White Peach Oolong Tea,"1,4",O,1,a55,복숭아향,55
Wild Apple Sarsaparilla,4,X,"1,4",a56,"과일향(사과), 캐모마일향",56
Wild Raspberry Hibiscus Herbal Tea,3,X,1,a57,"라즈베리향,",57
"Yogi Tea, Perfect Energy",2,O,1,a58,과일향,58
"Yogi Tea, 베리 디톡스",2,X,1,a59,과일 향,59
"Yogi Tea, 복숭아 해독제,",2,X,1,a60,과일 향이 나는 복숭아 향,60
"Yogi Tea, 여성용 라즈베리 잎",4,X,5,a61,달콤한 맛,61
ZEN™-green tea,3,O,3,a62,시원한 향,62
요기티 Yogi Tea 라즈베리 패션 퍼펙트 에너지 티 16티백,2,X,2,a63,"카다몬, 계피, 클로버, 생강, 검은 후추",63
요기티 Yogi Tea 베드타임 티 16티백,4,X,3,a64,스피아민트,64
요기티 Yogi Tea 스윗 탠저린 파지티브 에너지 티 16티백,4,O,1,a65,"귤, 레몬, 연꽃",65
요기티 Yogi Tea 스토맥 이즈 티 16티백,4,X,"2,3",a66,"감초, 카다몬씨앗, 회향씨, 페퍼민트잎, 생강뿌리, 후추",66
요기티 Yogi Tea 진저 티 16티백,"2,4",,2,a67,허브 약초 생강,67
요기티 Yogi Tea 콜드 시즌 티 16티백,4,X,"2,3,4",a68,"생강뿌리, 감초, 유칼립투스잎, 오렌지껍질, 박하잎, 레몬그라스, 바질잎, 카아몬씨앗, 오레가노잎, 파슬리잎, 야로꽃,",68
요기티 Yogi Tea 트롯 컴포트 티 허니 레몬 16티백,4,X,1,a69,"누릅나무껍질, 꿀 레몬",69
요기티 Yogi Tea 피치 디톡스 티 16티백,4,X,1,a70,복숭아 향,70
